method,lambda,random_seed,h_norm,size_std,max_min_ratio,silhouette,ari,time,cluster_sizes,dataset
K-Means,0.0,0,0.9989070566075137,2.449489742783178,1.127659574468085,0.4589717867018717,0.6201351808870379,0.03739786148071289,"[53, 50, 47]",iris
K-Means,0.0,1,0.9989070566075137,2.449489742783178,1.127659574468085,0.4589717867018717,0.6201351808870379,0.010280609130859375,"[50, 53, 47]",iris
K-Means,0.0,2,0.9989070566075137,2.449489742783178,1.127659574468085,0.4589717867018717,0.6201351808870379,0.00992727279663086,"[53, 50, 47]",iris
K-Means,0.0,3,0.9989070566075137,2.449489742783178,1.127659574468085,0.4589717867018717,0.6201351808870379,0.007673025131225586,"[53, 50, 47]",iris
K-Means,0.0,4,0.9989070566075137,2.449489742783178,1.127659574468085,0.4589717867018717,0.6201351808870379,0.007859945297241211,"[47, 50, 53]",iris
K-Means,0.0,5,0.9989070566075137,2.449489742783178,1.127659574468085,0.4589717867018717,0.6201351808870379,0.008450508117675781,"[50, 47, 53]",iris
K-Means,0.0,6,0.9956203048843116,4.898979485566356,1.2727272727272727,0.46214947389312017,0.5923326221845838,0.009195804595947266,"[56, 50, 44]",iris
K-Means,0.0,7,0.9989070566075137,2.449489742783178,1.127659574468085,0.4589717867018717,0.6201351808870379,0.009320259094238281,"[50, 53, 47]",iris
K-Means,0.0,8,0.9989070566075137,2.449489742783178,1.127659574468085,0.4589717867018717,0.6201351808870379,0.007540702819824219,"[53, 50, 47]",iris
K-Means,0.0,9,0.9989070566075137,2.449489742783178,1.127659574468085,0.4589717867018717,0.6201351808870379,0.00700068473815918,"[50, 53, 47]",iris
K-Means,0.0,10,0.9989070566075137,2.449489742783178,1.127659574468085,0.4589717867018717,0.6201351808870379,0.010099649429321289,"[47, 50, 53]",iris
K-Means,0.0,11,0.9989070566075137,2.449489742783178,1.127659574468085,0.4589717867018717,0.6201351808870379,0.009277582168579102,"[47, 50, 53]",iris
K-Means,0.0,12,0.9989070566075137,2.449489742783178,1.127659574468085,0.4589717867018717,0.6201351808870379,0.009144306182861328,"[50, 53, 47]",iris
K-Means,0.0,13,0.996960792020675,4.08248290463863,1.2222222222222223,0.4608959832660513,0.6011286543750637,0.010134458541870117,"[50, 55, 45]",iris
K-Means,0.0,14,0.9989070566075137,2.449489742783178,1.127659574468085,0.4589717867018717,0.6201351808870379,0.006695270538330078,"[50, 47, 53]",iris
K-Means,0.0,15,0.9989070566075137,2.449489742783178,1.127659574468085,0.4589717867018717,0.6201351808870379,0.008811712265014648,"[50, 47, 53]",iris
K-Means,0.0,16,0.9995144095372329,1.632993161855452,1.0833333333333333,0.45840087099074767,0.6100728505285608,0.007773399353027344,"[48, 50, 52]",iris
K-Means,0.0,17,0.9989070566075137,2.449489742783178,1.127659574468085,0.4589717867018717,0.6201351808870379,0.008119344711303711,"[50, 47, 53]",iris
K-Means,0.0,18,0.9989070566075137,2.449489742783178,1.127659574468085,0.4589717867018717,0.6201351808870379,0.007142305374145508,"[53, 50, 47]",iris
K-Means,0.0,19,0.9989070566075137,2.449489742783178,1.127659574468085,0.4589717867018717,0.6201351808870379,0.007802248001098633,"[47, 50, 53]",iris
K-Means,0.0,20,0.9989070566075137,2.449489742783178,1.127659574468085,0.4589717867018717,0.6201351808870379,0.008548498153686523,"[50, 47, 53]",iris
K-Means,0.0,21,0.9989070566075137,2.449489742783178,1.127659574468085,0.4589717867018717,0.6201351808870379,0.00816655158996582,"[47, 50, 53]",iris
K-Means,0.0,22,0.9989070566075137,2.449489742783178,1.127659574468085,0.4589717867018717,0.6201351808870379,0.009107351303100586,"[50, 47, 53]",iris
